bolus_pred,basal_pred,bolus_gt,basal_gt,accuracy_bolus,accuracy_basal
6,124,1,124,0.98046875,1.0
1,0,1,0,1.0,1.0
0,0,1,0,0.99609375,1.0
2,134,1,134,0.99609375,1.0
2,126,1,126,0.99609375,1.0
9,0,1,0,0.96875,1.0
3,0,1,0,0.9921875,1.0
1,0,1,0,1.0,1.0
3,12,1,12,0.9921875,1.0
8,0,1,0,0.97265625,1.0
3,124,1,124,0.9921875,1.0
3,0,1,0,0.9921875,1.0
2,0,1,0,0.99609375,1.0
2,0,1,0,0.99609375,1.0
6,0,1,0,0.98046875,1.0
2,126,1,126,0.99609375,1.0
2,126,1,126,0.99609375,1.0
0,126,1,126,0.99609375,1.0
0,0,1,0,0.99609375,1.0
5,0,1,0,0.984375,1.0
0,0,1,0,0.99609375,1.0
8,13,1,13,0.97265625,1.0
12,11,1,11,0.95703125,1.0
0,0,1,0,0.99609375,1.0
0,156,1,156,0.99609375,1.0
8,0,1,0,0.97265625,1.0
1,124,1,124,1.0,1.0
0,12,1,12,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,119,1,119,0.9921875,1.0
3,12,1,12,0.9921875,1.0
0,0,1,0,0.99609375,1.0
10,0,1,0,0.96484375,1.0
2,0,1,0,0.99609375,1.0
0,0,1,0,0.99609375,1.0
0,126,1,126,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,0,1,0,0.9921875,1.0
5,0,1,0,0.984375,1.0
0,0,1,0,0.99609375,1.0
0,126,1,126,0.99609375,1.0
4,0,1,0,0.98828125,1.0
3,12,1,12,0.9921875,1.0
1,0,1,0,1.0,1.0
0,12,1,12,0.99609375,1.0
6,1,1,1,0.98046875,1.0
1,0,1,0,1.0,1.0
0,0,1,0,0.99609375,1.0
0,119,1,119,0.99609375,1.0
0,0,1,0,0.99609375,1.0
0,12,1,12,0.99609375,1.0
6,0,1,0,0.98046875,1.0
4,0,1,0,0.98828125,1.0
0,0,1,0,0.99609375,1.0
0,126,1,126,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,12,1,12,0.9921875,1.0
2,125,1,125,0.99609375,1.0
0,0,1,0,0.99609375,1.0
7,14,1,14,0.9765625,1.0
5,124,1,124,0.984375,1.0
0,0,1,0,0.99609375,1.0
4,1,1,1,0.98828125,1.0
0,126,1,126,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,0,1,0,0.9921875,1.0
7,0,1,0,0.9765625,1.0
0,126,1,126,0.99609375,1.0
3,125,1,125,0.9921875,1.0
0,124,1,124,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,14,1,14,0.9921875,1.0
0,0,1,0,0.99609375,1.0
4,124,1,124,0.98828125,1.0
0,0,1,0,0.99609375,1.0
1,0,1,0,1.0,1.0
0,1,1,1,0.99609375,1.0
7,0,1,0,0.9765625,1.0
12,0,1,0,0.95703125,1.0
0,1,1,1,0.99609375,1.0
4,0,1,0,0.98828125,1.0
1,120,1,120,1.0,1.0
0,0,1,0,0.99609375,1.0
0,1,1,1,0.99609375,1.0
0,0,1,0,0.99609375,1.0
0,0,1,0,0.99609375,1.0
0,13,1,13,0.99609375,1.0
13,0,1,0,0.953125,1.0
0,0,1,0,0.99609375,1.0
0,1,1,1,0.99609375,1.0
0,119,1,119,0.99609375,1.0
3,0,1,0,0.9921875,1.0
0,0,1,0,0.99609375,1.0
1,124,1,124,1.0,1.0
0,0,1,0,0.99609375,1.0
2,124,1,124,0.99609375,1.0
5,12,1,12,0.984375,1.0
0,126,1,126,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,0,1,0,0.9921875,1.0
1,10,1,10,1.0,1.0
6,0,1,0,0.98046875,1.0
0,0,1,0,0.99609375,1.0
0,115,1,115,0.99609375,1.0
4,0,1,0,0.98828125,1.0
0,100,1,100,0.99609375,1.0
0,0,1,0,0.99609375,1.0
3,0,1,0,0.9921875,1.0
3,0,1,0,0.9921875,1.0
1,0,1,0,1.0,1.0
9,0,1,0,0.96875,1.0
0,0,1,0,0.99609375,1.0
3,0,1,0,0.9921875,1.0
1,0,1,0,1.0,1.0
0,0,1,0,0.99609375,1.0
1,130,1,130,1.0,1.0
6,0,1,0,0.98046875,1.0
0,126,1,126,0.99609375,1.0
5,126,1,126,0.984375,1.0
4,12,1,12,0.98828125,1.0
0,120,1,120,0.99609375,1.0
3,0,1,0,0.9921875,1.0
0,0,1,0,0.99609375,1.0
0,1,1,1,0.99609375,1.0
4,0,1,0,0.98828125,1.0
0,1,1,1,0.99609375,1.0
0,124,1,124,0.99609375,1.0
0,0,1,0,0.99609375,1.0
2,0,1,0,0.99609375,1.0
4,0,1,0,0.98828125,1.0
2,0,1,0,0.99609375,1.0
1,0,1,0,1.0,1.0
0,125,1,125,0.99609375,1.0
3,0,1,0,0.9921875,1.0
7,0,1,0,0.9765625,1.0
4,133,1,133,0.98828125,1.0
0,11,1,11,0.99609375,1.0
4,126,1,126,0.98828125,1.0
1,12,1,12,1.0,1.0
5,0,1,0,0.984375,1.0
1,0,1,0,1.0,1.0
5,126,1,126,0.984375,1.0
3,12,1,12,0.9921875,1.0
2,130,1,130,0.99609375,1.0
3,100,1,100,0.9921875,1.0
3,126,1,126,0.9921875,1.0
4,0,1,0,0.98828125,1.0
4,0,1,0,0.98828125,1.0
1,144,1,144,1.0,1.0
7,138,1,138,0.9765625,1.0
3,125,1,125,0.9921875,1.0
2,0,1,0,0.99609375,1.0
15,80,1,80,0.9453125,1.0
